date,confirmed_cases,confirmed_deaths,cfr,cfr_pct
2026-05-14,8,4,0.5,50
2026-05-17,13,4,0.3076923076923077,30.8
2026-05-18,33,4,0.12121212121212122,12.1
2026-05-19,51,4,0.0784313725490196,7.8
2026-05-20,64,6,0.09375,9.4
2026-05-21,83,9,0.10843373493975904,10.8
2026-05-22,91,10,0.10989010989010989,11
2026-05-23,101,10,0.09900990099009901,9.9
2026-05-24,105,10,0.09523809523809523,9.5
2026-05-25,106,12,0.11320754716981132,11.3
2026-05-26,121,17,0.14049586776859505,14
2026-05-27,125,17,0.136,13.6
2026-05-28,210,17,0.08095238095238096,8.1
2026-05-29,263,42,0.1596958174904943,16
2026-05-30,282,42,0.14893617021276595,14.9
2026-05-31,321,48,0.14953271028037382,15
2026-06-01,344,60,0.1744186046511628,17.4
2026-06-02,363,62,0.17079889807162535,17.1
2026-06-03,381,64,0.1679790026246719,16.8
2026-06-04,452,82,0.18141592920353983,18.1
2026-06-05,488,86,0.1762295081967213,17.6
2026-06-06,515,91,0.1766990291262136,17.7
2026-06-07,550,101,0.18363636363636363,18.4
2026-06-08,598,115,0.19230769230769232,19.2
2026-06-09,635,127,0.2,20
2026-06-10,676,136,0.20118343195266272,20.1
2026-06-11,689,139,0.20174165457184326,20.2
2026-06-13,782,181,0.23145780051150894,23.1
2026-06-14,808,192,0.2376237623762376,23.8
2026-06-15,837,196,0.23416965352449223,23.4
2026-06-16,875,202,0.23085714285714284,23.1
2026-06-17,896,232,0.25892857142857145,25.9
2026-06-18,933,245,0.26259378349410506,26.3
2026-06-19,956,247,0.2583682008368201,25.8
